,Airport Name,Country,City,Latitude,Longitude
FTE,El Calafate,Argentina,El Calafate,-50.280322,-72.053103
FTI,Fitiuta,American Samoa,Fitiuta,-14.21611,-169.423549
FTK,Godman AAF,United States,Fort Knox,37.907065,-85.972034
FTL,Fortuna Ledge,United States,Fortuna Ledge,61.866666666667,-162.03333333333
FTU,Marillac,Madagascar,Fort Dauphin,-25.038056,46.956111
FTW,Meacham Field,United States,Fort Worth,32.819778,-97.362444
FTX,Owando,Congo,Owando,-0.53135,15.950094
FTY,Fulton County,United States,Atlanta,33.779139,-84.521361
FUB,Fulleborn,Papua New Guinea,Fulleborn,-6.15,150.617
FUD,Sui Fen He,China,Sui Fen He,0.0,0.0
FUE,Fuerteventura,Spain,Puerto del Rosario,28.452717,-13.863761
FUG,Fuyang,China,Fuyang,32.881667,115.733889
FUJ,Fukue,Japan,Fukue,32.666269,128.832808
FUK,Fukuoka,Japan,Fukuoka,33.585942,130.450685
FUL,Municipal,United States,Fullerton,33.872014,-117.979784
FUM,Fuma,Papua New Guinea,Fuma,-6.383,142.433
FUN,International,Tuvalu,Funafuti Atol,-8.525,179.196389
FUO,Fuoshan,China,Fuoshan,23.083333,113.070833
FUT,Futuna Island,Vanuatu,Futuna Island,-14.311389,-178.066111
FVL,Flora Valey,Australia,Flora Valley,-18.333333333333,128.0
FVR,Forrest River Airport,Australia,Forrest River,-15.3,128.06666666667
FWA,Municipal/Baer Field,United States,Fort Wayne,40.978472,-85.195167
FWH,Fort Worth NAS Jrb/Carswell Field,United States,"Fort Worth, TX",32.769185,-97.441533
FWL,Farewell,United States,Farewell,62.506612,-153.893619
FWM,Heliport,United Kingdom,Fort William,56.817,-5.117
FXE,Executive,United States,Fort Lauderdale,26.197279,-80.170706
FXM,Flaxman Island,United States,Flaxman Island,70.216666666667,-146.0
FXO,Cuamba,Mozambique,Cuamba,-14.817499,36.528333
FXY,Municipal,United States,Forest City,43.234757,-93.624104
FYM,Municipal,United States,Fayetteville,35.059694,-86.564
FYN,Fuyun,China,Fuyun,47.0,89.5
FYT,Faya,Chad,Faya,17.917053,19.111078
FYU,Fort Yukon,United States,Fort Yukon,66.57149,-145.250417
FYV,Municipal (Drake Fld),United States,Fayetteville,36.005095,-94.170057
FZO,Filton,United Kingdom,Bristol,51.519444,-2.590833
GAA,Guamal,Colombia,Guamal,9.167,-74.2
GAB,Gabbs,United States,Gabbs,38.924091,-117.959007
GAC,Gracias,Honduras,Gracias,14.583,-88.583
GAD,Municipal,United States,Gadsden,33.972649,-86.089083
GAE,Gabes,Tunisia,Gabes,33.876919,10.103333
GAF,Gafsa,Tunisia,Gafsa,34.422022,8.822503
GAG,Gage,United States,Gage,36.295539,-99.776424
GAH,Gayndah,Australia,Gayndah,-25.614444,151.619444
GAI,Montgomery County,United States,Gaithersburg,39.168333,-77.166
GAJ,Junmachi,Japan,Yamagata,38.411894,140.371331
GAK,Gakona,United States,Gakona,62.3,-145.3
GAL,Galena,United States,Galena,64.736166,-156.937389
GAM,Gambell,United States,Gambell,63.766766,-171.732824
